,tweet_id,p1,p1_conf,p1_dog,retweet_count,fav_count,text,rating_numerator,rating_denominator,name,dog_stage
0,6.66021E+17,Welsh_springer_spaniel,0.465074,TRUE,518,2565,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8,10,NA,NA
1,6.66029E+17,redbone,0.506826,TRUE,47,129,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7,10,NA,NA
2,6.66033E+17,German_shepherd,0.596461,TRUE,45,125,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9,10,NA,NA
3,6.66044E+17,Rhodesian_ridgeback,0.408143,TRUE,141,299,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6,10,NA,NA
4,6.66049E+17,miniature_pinscher,0.560311,TRUE,41,109,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5,10,NA,NA
5,6.66051E+17,Bernese_mountain_dog,0.651137,TRUE,58,132,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10,10,NA,NA
6,6.66056E+17,chow,0.692517,TRUE,253,436,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10,10,NA,NA
7,6.66059E+17,miniature_poodle,0.201493,TRUE,57,112,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8,10,NA,NA
8,6.66064E+17,golden_retriever,0.77593,TRUE,221,477,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10,10,NA,NA
9,6.66071E+17,Gordon_setter,0.503672,TRUE,62,148,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9,10,NA,NA
10,6.66073E+17,Walker_hound,0.260857,TRUE,164,322,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,10,10,NA,NA
11,6.66083E+17,pug,0.489814,TRUE,45,119,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,6,10,NA,NA
12,6.66094E+17,bloodhound,0.195217,TRUE,75,164,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,9,10,NA,NA
13,6.661E+17,Lhasa,0.58233,TRUE,68,158,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,8,10,NA,NA
